date,code,weight
2023-06-28,3040,0.09946301162621196
2023-06-28,6284,0.24127443139510604
2023-06-28,9621,0.1988669269530342
2023-06-28,9692,0.25493749581401215
2023-06-28,9755,0.20545813421163567
2023-06-29,3040,0.09828186351726205
2023-06-29,6284,0.24118456136037067
2023-06-29,9621,0.19855387618045042
2023-06-29,9692,0.2591573754619989
2023-06-29,9755,0.20282232347991794
2023-06-30,3040,0.0974338107226249
2023-06-30,6284,0.24077229063196404
2023-06-30,9621,0.20380440982970666
2023-06-30,9692,0.2615246541272751
2023-06-30,9755,0.19646483468842932
2023-07-03,3040,0.09887294094981215
2023-07-03,6284,0.24218476062036412
2023-07-03,9621,0.20022348521337058
2023-07-03,9692,0.26034871399672477
2023-07-03,9755,0.19837009921972834
2023-07-04,3040,0.09954576801420871
2023-07-04,6284,0.24451473460754589
2023-07-04,9621,0.19665278414541587
2023-07-04,9692,0.2588659996378473
2023-07-04,9755,0.20042071359498226
2023-07-05,3040,0.09848679148499616
2023-07-05,6284,0.24603433669860958
2023-07-05,9621,0.1945020867821586
2023-07-05,9692,0.258621091655203
2023-07-05,9755,0.2023556933790327
2023-07-06,3040,0.09566756379508456
2023-07-06,6284,0.24589930054830228
2023-07-06,9621,0.19053696606078366
2023-07-06,9692,0.26038188366120935
2023-07-06,9755,0.20751428593462015
2023-07-07,3040,0.09579796100321743
2023-07-07,6284,0.24393921773849672
2023-07-07,9621,0.19100282978640928
2023-07-07,9692,0.2591464123735318
2023-07-07,9755,0.21011357909834477
2023-07-10,7270,1.0
2023-07-11,7270,1.0
2023-07-12,7270,1.0
2023-07-13,6501,0.8083206423923578
2023-07-13,7270,0.19167935760764226
2023-07-14,7270,1.0
2023-07-18,7270,1.0
2023-07-19,6501,0.8108644363937889
2023-07-19,7270,0.18913556360621106
2023-07-20,7270,1.0
2023-07-21,7270,1.0
2023-07-24,6501,0.8044818579903489
2023-07-24,7270,0.19551814200965115
2023-07-25,3040,0.09239817907757099
2023-07-25,6284,0.2365873611016429
2023-07-25,9621,0.18285727270661487
2023-07-25,9692,0.24720688375334227
2023-07-25,9755,0.24095030336082895
2023-07-26,3040,0.0916628787878788
2023-07-26,6284,0.23487878787878788
2023-07-26,9621,0.18342424242424243
2023-07-26,9692,0.24525378787878788
2023-07-26,9755,0.24478030303030304
2023-07-27,6501,1.0
2023-07-28,6284,0.15364265616067826
2023-07-28,6345,0.1665829388225803
2023-07-28,7222,0.354101963191095
2023-07-28,9692,0.16041595003056272
2023-07-28,9755,0.16525649179508373
2023-07-31,6501,1.0
2023-08-01,6284,0.15537559051030472
2023-08-01,6345,0.1667742007252987
2023-08-01,7222,0.3517748063768933
2023-08-01,9692,0.1592196241004838
2023-08-01,9755,0.16685577828701953
2023-08-02,6284,0.15520945485435456
2023-08-02,6345,0.16641067177668686
2023-08-02,7222,0.35101097403174664
2023-08-02,9692,0.16062979681743203
2023-08-02,9755,0.1667391025197799
2023-08-03,6345,0.1236951472134498
2023-08-03,7222,0.2565669967643162
2023-08-03,7224,0.17229877687086648
2023-08-03,9412,0.3249875728306043
2023-08-03,9755,0.12245150632076326
2023-08-04,7269,1.0
2023-08-07,7269,1.0
2023-08-08,7269,1.0
2023-08-09,7269,1.0
2023-08-10,7269,0.567685876250301
2023-08-10,7270,0.4323141237496991
2023-08-14,7269,1.0
2023-08-15,7269,1.0
2023-08-16,7269,1.0
2023-08-17,7202,0.3487025794718102
2023-08-17,7269,0.6512974205281897
2023-08-18,6273,1.0
2023-08-21,6273,1.0
2023-08-22,6273,1.0
2023-08-23,6273,1.0
2023-08-24,6273,1.0
2023-08-25,7202,1.0
2023-08-28,6273,1.0
2023-08-29,6420,0.1797416284581513
2023-08-29,7222,0.22192320284218095
2023-08-29,7224,0.14978469038179273
2023-08-29,8074,0.14695566767912052
2023-08-29,9412,0.3015948106387545
2023-08-30,6379,0.12433892839625284
2023-08-30,6420,0.18395880514191085
2023-08-30,7222,0.2278100905386833
2023-08-30,8074,0.1522225118049946
